Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
56,2015,20,Telangana,Nizamabad,98.03,262.79,2680.71,0.81,1.89,2333.33,0.83,0.5,602.41,4.89,4.38,895.71,5.71,4.88,854.64,1.58,1.48,936.71,42.06,179.73,4273.18,0,0,0,0,0,0,16.74,8.69,519.12,5.06,2.53,500,10.6,4.47,421.67,0.55,1.47,2672.73,2.19,0.62,283.11,0.28,0.27,964.29,0.9,0.2,222.22,0,0,0,0,0,0,4.26,3.73,875.59,109.96,117.32,1067,118.15,123.61,1046.21,6.42,38.85,6046.24,16.66,2.97,178.27,1.54,5.96,7.51,-1,1.6,8.55
56,2016,20,Telangana,Nizamabad,186.02,755.08,4059.07,0.12,0.11,903.23,0.01,0,500,0.26,0.31,1188.46,0.27,0.31,1172.93,1.53,1.33,868.94,25.09,136.28,5432.61,-1,-1,-1,-1,-1,-1,10.05,15.66,1557.99,1.66,1.04,625.3,2.5,2.52,1006.39,0.34,0.7,2043.73,3.23,3.55,1100.15,-1,-1,-1,0.81,0.69,848.89,-1,-1,-1,-1,-1,-1,0.39,0.49,1251.27,57.52,56.08,975,-1,-1,-1,0.37,3.11,8388.14,0.99,0.41,415.05,1.79,3.98,5.77,-1,1.23,19.57
56,2017,20,Telangana,Nizamabad,173.28,653.76,3772.84,0.08,0.12,1392.86,0,0,1000,0.17,0.23,1353.29,0.17,0.23,1351.19,4.75,5.02,1057.04,27.85,152.16,5464.04,-1,-1,-1,-1,-1,-1,10.74,17.98,1674.96,0.84,0.67,798.09,1.36,1.04,770.48,0.22,0.49,2226.24,3.85,3.2,831.04,-1,-1,-1,0.45,0.38,842.57,-1,-1,-1,-1,-1,-1,0.06,0.07,1098.36,40.52,74.39,1835.99,-1,-1,-1,0.33,2.56,7800,1.4,0.86,613.08,1.65,3.63,5.29,-1,0.93,19.76
57,2015,20,Telangana,Medak,84.17,239.78,2848.76,1.21,0.91,752.07,7.97,9.27,1163.11,6.71,5.32,792.85,14.68,14.59,993.87,0.29,0.27,931.03,116.41,259.1,2225.75,0,0,0,0,0,0,11.84,12.7,1072.64,24.26,8.71,359.03,39.79,16.5,414.72,0.58,0.51,879.31,0.29,0.03,103.45,0,0,0,2.26,1.57,694.69,0.77,0.28,363.64,0.01,0,0,5.2,7.55,1451.92,26.01,24.81,954.01,35.11,34.75,989.75,17.78,121.04,6809.29,134.24,40.71,303.26,9.94,20.88,30.82,1.67,4.43,0.13
57,2016,20,Telangana,Medak,77.22,284.97,3690.41,0.25,0.27,1105.26,1.07,0.76,709.62,0.7,0.85,1222.38,1.77,1.61,911.76,0,0,1000,41.28,121.35,2940.01,0,0,1000,-1,-1,-1,0.9,0.96,1059.67,3.62,2.44,673.2,6.25,4.36,698.21,0.32,0.67,2061.54,0.01,0.01,818.18,-1,-1,-1,0.05,0.02,413.04,0.01,0,666.67,-1,-1,-1,0.38,0.68,1794.2,2.56,2.72,1062.06,-1,-1,-1,0.92,7.74,8393.71,7.61,2.93,385.42,1.02,4.58,5.6,0.04,1.3,0.03
57,2017,20,Telangana,Medak,77.54,241.34,3112.38,0.19,0.27,1386.6,0.46,0.44,943.84,0.62,0.98,1567.52,1.08,1.41,1301.38,-1,-1,-1,24.64,96.8,3929.05,-1,-1,-1,-1,-1,-1,0.66,0.88,1341.46,3.08,2.17,703.9,2.86,1.99,695.56,0.12,0.26,2228.81,0,0,666.67,-1,-1,-1,0.04,0.02,555.56,-1,-1,-1,-1,-1,-1,0.18,0.26,1423.08,0.21,0.26,1250,-1,-1,-1,1.54,12.01,7804.03,12.35,10.85,878.82,1.31,3.95,5.26,-1,1,0
58,2015,20,Telangana,Mahabubnagar,96.28,215.02,2233.28,0,0,0,19.69,20.28,1029.96,6.27,5.09,811.8,25.96,25.37,977.27,1.22,1.17,959.02,162.56,213.88,1315.7,0.71,0.28,394.37,0,0,0,22.09,6.14,277.95,115.98,29.81,257.03,13.94,4.02,288.73,79.06,126.12,1595.24,0.51,0.02,39.22,0,0,0,0.31,0.52,1677.42,45.86,16.42,358.05,0,0,0,1.2,0.95,791.67,0,0,0,126.94,144.02,1134.55,2.16,13.09,6058.61,273.99,47.26,172.49,22.99,19.28,42.27,-1,5.97,1.41
58,2016,20,Telangana,Mahabubnagar,52.33,142.16,2716.75,-1,-1,-1,17.94,14.27,794.97,1.32,1.15,868.68,19.27,15.42,800.04,0,0,1000,46.71,53.4,1143.23,0.72,0.84,1168.74,-1,-1,-1,0.38,0.5,1298.43,94.39,51.54,545.99,5.2,3.44,661.99,15.09,27.83,1843.83,0.24,0.03,136.93,-1,-1,-1,0.19,0.13,687.5,20.4,12.22,599,-1,-1,-1,0.61,0.52,843.14,0.04,0.05,1159.09,-1,-1,-1,0.69,2.78,4044.83,34.5,10.89,315.53,6.16,5.97,12.13,-1,0.87,0.81
58,2017,20,Telangana,Mahabubnagar,59.12,142.9,2417.14,0,0,1000,15.12,16.04,1060.99,0.96,0.9,937.5,16.08,16.94,1053.62,-1,-1,-1,39.31,57.95,1474.24,1.06,1.15,1086.79,-1,-1,-1,0.65,0.98,1516.18,91.52,77.06,842,5.82,3.34,573.47,18.94,44.17,2332.26,0.37,0.11,311.48,-1,-1,-1,0.11,0.06,570.09,13.52,12.3,910.03,-1,-1,-1,0.3,0.63,2135.14,0.02,0.04,1625,-1,-1,-1,0.54,4.45,8196.69,73.98,21.86,295.41,7.53,4.74,12.27,-1,0.82,0.98
59,2015,20,Telangana,Nalgonda,212.73,620.45,2916.61,0,0,0,1.23,0.57,463.41,0.94,0.23,244.68,2.16,0.8,370.37,0.06,0.03,500,2.54,3.01,1185.04,0,0,0,0,0,0,0.23,0.16,695.65,21.83,9.74,446.18,24.49,12.48,509.54,11.77,12.2,1036.53,0.38,0.03,78.95,0,0,0,0,0,0,0.24,0.03,125,0,0,0,0.01,0.01,1000,0,0,0,12.56,15.59,1241.24,1.23,10.84,8824.67,341.66,115.43,337.85,35.81,4.61,40.42,-1,0.01,1.8
